"id_produk";"Title";"Price";"Luas_Bangunan";"Luas_Tanah";"Kamar_Tidur";"Tipe_Properti";"Tipe_Penawaran";"Lokasi"
"6021";"Rumah 1 Lantai Swan Regency Sidoarjo";"800000000";"144";"144";"3";"Rumah";"Dijual";"Sidoar"
"6022";"Dijual! Sisa 2 Unit Rumah Ready Stock Dekat Juanda";"850000000";"47";"76";"2";"Rumah";"Dijual";"Sidoar"
"6023";"Rumah Harga Terjangkau Dekat Juanda Sangat Strategis";"230000000";"42";"75";"2";"Rumah";"Dijual";"Sidoar"
"6024";"Rumah Baru Siap Huni kepuh Permai Waru Sidoarjo";"850000000";"80";"105";"3";"Rumah";"Dijual";"Sidoar"
"6025";"Rumah Baru Siap Huni Kepuh Permai Waru Sidoarjo";"850000000";"80";"105";"3";"Rumah";"Dijual";"Sidoar"
"6026";"Rumah Modern Murah di Sidoarjo Dekat Tol Sidoarjo Harga 250 Jutaan ";"250000000";"42";"75";"2";"Rumah";"Dijual";"Sidoar"
"6027";"Dijual Murah Rumah di Jalan Garuda Waru Sidoarjo";"1050000000";"160";"112";"3";"Rumah";"Dijual";"Sidoar"
"6028";"Tanpa Dp Siap Huni Dan Free Biaya Dekat Tol Sidoarjo Kota";"990000000";"74";"90";"3";"Rumah";"Dijual";"Sidoar"
"6029";"Siap Huni Dp 20 Juta Dan Free Biaya2 Nol Jalan Lingkar Timur Sidoarjo";"500000000";"36";"90";"2";"Rumah";"Dijual";"Sidoar"
"6030";"Rumah Ready Stock Dan Free Biaya Dekat Bandara T2 Juanda Sidoarjo";"597000000";"60";"90";"2";"Rumah";"Dijual";"Sidoar"
"6031";"RUMAH MURAH PURI INDAH SIDOARJO KOTA";"825000000";"90";"120";"3";"Rumah";"Dijual";"Sidoar"
"6032";"Dijual Rumah 15 Lantai Pondok Candra Sidoarjo Baru Renovasi LT 180 m2 (12x15";"1400000000";"225";"180";"6";"Rumah";"Dijual";"Sidoar"
"6033";"RUMAH MEWAH TANPA DP 0%";"400000000";"45";"91";"2";"Rumah";"Dijual";"Sidoar"
"6034";"Dijual Rumah di Cluster Nagoya Gedangan Sidoarjo";"2147483647";"240";"165";"5";"Rumah";"Dijual";"Sidoar"
"6035";"Dijual Rumah Lokasi Di Pondok Jati Sidoarjo";"1000000000";"180";"120";"5";"Rumah";"Dijual";"Sidoar"
"6036";"Hunian Sangat Bagus Harga Promo ! Bebas Banjir Akses Mudah";"325000000";"42";"72";"2";"Rumah";"Dijual";"Sidoar"
"6037";"Rumah Baru Kawasan Bandara Juanda Sidoarjo Harga Terbaik 365 Juta ";"365000000";"42";"72";"2";"Rumah";"Dijual";"Sidoar"
"6038";"DIJUAL RUMAH SURABAYA RUHA DEKAT BANDARA JUANDA T1 DAN PONDOK CANDRA ";"950000000";"90";"105";"2";"Rumah";"Dijual";"Sidoar"
"6039";"Dijual Rumah di PURI SURYA JAYA-PASADENAGEDANGAN-SIDOARJO";"2147483647";"350";"296";"4";"Rumah";"Dijual";"Sidoar"
"6040";"Rumah Siap Huni di Griya Permata Gedangan";"875000000";"136";"136";"3";"Rumah";"Dijual";"Sidoar"
"6041";"Dijual rumah bypass juanda";"1500000000";"250";"191";"4";"Rumah";"Dijual";"Sidoar"
"6042";"Dijual Rumah Hor Promo dekat Tol SDA Buduran Sidoarjo";"358000000";"40";"72";"2";"Rumah";"Dijual";"Sidoar"
"6043";"Dijual Rumah tinggal 1 unit lokasi strategis dekat surabaya buduran sidoarjo";"402000000";"40";"76";"2";"Rumah";"Dijual";"Sidoar"
"6044";"Dijual Rumah 15 mnt dari surabaya buduran sidoarjo";"418000000";"44";"77";"2";"Rumah";"Dijual";"Sidoar"
"6045";"Dijual ruman tinggal 1 Unit dekat Tol SDA buduran sidoarjo";"420000000";"36";"78";"2";"Rumah";"Dijual";"Sidoar"
"6046";"Dijual rumah dekat surabaya buduran sidoarjo";"428000000";"40";"78";"2";"Rumah";"Dijual";"Sidoar"
"6047";"Dijual rumah Big Promo dekat surabaya buduran sidoarjo";"434000000";"43";"78";"2";"Rumah";"Dijual";"Sidoar"
"6048";"Dijual rumah murah SHM dekat sby wage sda";"710000000";"68";"77";"2";"Rumah";"Dijual";"Sidoar"
"6049";"Jual cepat rumah 10 menit dari perempatan gedangan sidoarjo";"660000000";"41";"98";"2";"Rumah";"Dijual";"Sidoar"
"6050";"10 Menit Dari Bandara Juanda Cuma 850Jt Waru Sidoarjo";"850000000";"57";"91";"2";"Rumah";"Dijual";"Sidoar"
"6051";"Angsuran 5Jtan Rumah strategis Waru Sidoarjo";"853000000";"60";"94";"2";"Rumah";"Dijual";"Sidoar"
"6052";"2 Lantai Harga Cash Mulai 700Jt Wage Waru Sidoarjo";"700000000";"63";"75";"2";"Rumah";"Dijual";"Sidoar"
"6053";"Free Fasilitas CCTV Rumah aman Wage Waru Sidoarjo";"703000000";"64";"76";"2";"Rumah";"Dijual";"Sidoar"
"6054";"Cicilan DP 2Jtan Wage Waru Sidoarjo";"715000000";"68";"78";"3";"Rumah";"Dijual";"Sidoar"
"6055";"Desain Milenial Perumahan Modern Murah Di Sidoarjo";"335000000";"42";"72";"2";"Rumah";"Dijual";"Sidoar"
"6056";"Jual Perumahan Minimalis Harga Terjangkau Di Sidoarjo";"310000000";"42";"75";"2";"Rumah";"Dijual";"Sidoar"
