"id_produk","Title","Price","Luas_Bangunan","Luas_Tanah","Kamar_Tidur","Tipe_Properti","Tipe_Penawaran","Lokasi"
"11269","BARU SERAH TERIMA GRAND PAKUWON","30000000","48","48","2","Rumah","Disewakan","Suraba"
"11270","Rumah ploso timur","30000000","54","54","2","Rumah","Disewakan","Suraba"
"11271","Kost Surabaya Kost Campur Eksklusif Kost Siwalankerto Gayungan Wo","1300000","1000","1000","26","Rumah","Disewakan","Suraba"
"11272","Kost Khusus Mahasisiwi","2500000","15","200","2","Rumah","Disewakan","Suraba"
"11273","Rumah Pakuwon Indah Furnished","120000000","180","162","3","Rumah","Disewakan","Suraba"
"11274","Rumah Citraland Taman Puspa Raya Surabaya - Terawat dan Siap Huni","45000000","100","120","3","Rumah","Disewakan","Suraba"
"11275","Rumah Modern MURAH Citraland North West Lake NK2","20000000","45","55","1","Rumah","Disewakan","Suraba"
"11276","Rumah Siap Huni Pantai Mentari Surabaya Timur","35000000","42","72","2","Rumah","Disewakan","Suraba"
"11277","Rumah Sukolilo Dian Regency SIAP HUNI MINIMALIS ","32500000","60","90","2","Rumah","Disewakan","Suraba"
"11278","Disewakan Rumah Alana Hills Driyorejo","20000000","36","60","2","Rumah","Disewakan","Suraba"
"11279","Disewakan Rumah Grand Harvest","40000000","67","108","2","Rumah","Disewakan","Suraba"
"11280","Disewakan Rumah Bukit Palma","28000000","100","120","3","Rumah","Disewakan","Suraba"
"11281","Rumah Sukolilo Dian Regency SIAP HUNI ","32500000","60","90","2","Rumah","Disewakan","Suraba"
"11282","Disewakan Rumah Citra Sentosa","35000000","125","165","3","Rumah","Disewakan","Suraba"
"11283","Disewakan Rumah Safira Juanda Sidoarjo","25000000","45","90","2","Rumah","Disewakan","Suraba"
"11284","Disewakan Rumah Bukit Palma Grandia Citraland Surabaya Hadap Selatan","45000000","140","160","4","Rumah","Disewakan","Suraba"
"11285","2 Lantai Siap Huni di Surabaya Timur","50000000","150","85","3","Rumah","Disewakan","Suraba"
"11286","Rumah Nirwana Eksekutif STRATEGIS SIAP HUNI ","35000000","90","90","2","Rumah","Disewakan","Suraba"
"11287","Rumah Mulyosari Baru Strategis Bagus","40000000","105","105","4","Rumah","Disewakan","Suraba"
"11288","Rumah di Pantai Mentari Strategis Siap Huni Minimalis Furnish","60000000","103","128","2","Rumah","Disewakan","Suraba"
"11289","KOST PUTERI di Babatan Wiyung Surabaya","500","12","12","5","Rumah","Disewakan","Suraba"
"11290","Rumah di Rungkut Asri timur Hadap Timur","65000000","200","200","10","Rumah","Disewakan","Suraba"
"11291","Disewakan Rumah Villa Sentra Raya","70000000","250","160","8","Rumah","Disewakan","Suraba"
"11292","Rumah di Royal Residence","75000000","288","240","5","Rumah","Disewakan","Suraba"
"11293","Luas dengan kamar tidur 5","95000000","320","210","6","Rumah","Disewakan","Suraba"
"11294","Rumah Di Wisma Permai Listrik 2200w","35000000","135","135","4","Rumah","Disewakan","Suraba"
"11295","Rumah diperum koala regency bagus","30000000","112","112","2","Rumah","Disewakan","Suraba"
"11296","Disewakan Rumah Jalan Semangka Pondok Tjandra","30000000","120","90","3","Rumah","Disewakan","Suraba"
"11297","Disewakan Rumah Graha Natura Edenia","60000000","74","96","4","Rumah","Disewakan","Suraba"
"11298","Rumah DI SATELIT UTARA ","60000000","240","240","3","Rumah","Disewakan","Suraba"
"11299","Disewakan Rumah Syandana","35000000","78","78","2","Rumah","Disewakan","Suraba"
"11300","Disewakan rumah besar di Royal residence surabaya","55000000","164","128","4","Rumah","Disewakan","Suraba"
"11301","Disewakan Rumah Semalang Indah Wisma Mukti","55000000","120","200","4","Rumah","Disewakan","Suraba"
"11302","RUMAH BRATANG BINANGUN SUDAH RENOV SIAP HUNI","75000000","250","300","4","Rumah","Disewakan","Suraba"
"11303","Disewakan Rumah Syandana","35000000","78","78","2","Rumah","Disewakan","Suraba"
"11304","Rumah DI SATELIT UTARA ","60000000","240","240","3","Rumah","Disewakan","Suraba"
"11305","Disewakan Rumah Pandugo Rungkut","20000000","50","53","2","Rumah","Disewakan","Suraba"
"11306","Rumah di Pantai Mentari Minimalis Strategis","45000000","150","200","3","Rumah","Disewakan","Suraba"
"11307","Rumah Siap Huni Citraland Surabaya Barat","40000000","80","150","2","Rumah","Disewakan","Suraba"
"11308","Rumah Lebak Indah Regency Bebas Banjir Strategis","50000000","208","208","4","Rumah","Disewakan","Suraba"
"11309","Disewakan Rumah Babatan Pratama","40000000","95","135","4","Rumah","Disewakan","Suraba"
"11310","Rumah Bendul Merisi Selatan Hadap Selatan Semi Furnish","53000000","160","160","3","Rumah","Disewakan","Suraba"
"11311","disewakan rumah northwest park","40000000","100","120","3","Rumah","Disewakan","Suraba"
"11312","DiSewakan RUMAH Bagus Baru Renovasi di Griya Babatan Mukti Surabaya","35000000","100","120","3","Rumah","Disewakan","Suraba"
"11313","Disewakan Rumah Minimalis 2 Lantai LT 336 m² (14x24) Graha Family Surabaya","125000000","420","336","5","Rumah","Disewakan","Suraba"
"11314","Disewakan Rumah New Greenhill Gunung Anyar","25000000","36","66","2","Rumah","Disewakan","Suraba"
"11315","Rumah Nirwana Eksekutif SIAP HUNI ","25000000","60","90","2","Rumah","Disewakan","Suraba"
"11316","CITRALAND NORTHWEST LAKE","69999996","100","135","3","Rumah","Disewakan","Suraba"
"11317","Disewakan Rumah siap huni Wisma Permai Tengah","37500000","135","135","3","Rumah","Disewakan","Suraba"
"11318","Disewakan Rumah Purimas Ubud","37000000","70","96","2","Rumah","Disewakan","Suraba"
"11319","Di sewakan Rumah babatan mukti","35000000","60","120","3","Rumah","Disewakan","Suraba"
"11320","Rumah 2 lantai di Greenwood Citraland Surabaya","55000000","106","135","3","Rumah","Disewakan","Suraba"
"11321","Disewakan Rumah 2 Lantai Full Furnished LT 276 m2 LB 224 m2 di Isen Internationa","190000000","224","276","3","Rumah","Disewakan","Suraba"
"11322","Disewakan Rumah Klampis Semalang","75000000","100","200","4","Rumah","Disewakan","Suraba"
"11323","rumah Manyar Tirtoyoso Selatan Surabaya Timur (code : UDT) ","40000000","80","100","3","Rumah","Disewakan","Suraba"
"11324","Rumah Pusat kota Jl Diponegoro ","50000000","1500","1055","3","Rumah","Disewakan","Suraba"
"11325","RUMAH di darmo permai utara Strategis","25000000","80","108","2","Rumah","Disewakan","Suraba"
"11326","Rumah siap huni dan terawat di Citraland Surabaya hor6764382","80000000","200","180","5","Rumah","Disewakan","Suraba"
"11327","Rumah Lebak Indah Regency MINIMALIS SIAP HUNI","45000000","150","136","4","Rumah","Disewakan","Suraba"
"11328","Disewakan rumah Lokasi Ploso Timur","27500000","42","60","2","Rumah","Disewakan","Suraba"
"11329","Rumah Grand Island Zimbali Costa Minimalis","55000000","84","72","3","Rumah","Disewakan","Suraba"
"11330","rumah di Klampis Harapan ada Kitchen set Hadap Barat dan Selatan","65000000","97","202","3","Rumah","Disewakan","Suraba"
"11331","Rumah STRATEGIS Manyar Kertoadi","59000000","180","240","3","Rumah","Disewakan","Suraba"
"11332","Minimalis jarang ada @pakuwon city galaxy manyar mulyosari","75000000","280","198","3","Rumah","Disewakan","Suraba"
"11333","Rumah Baru Renovasi Rungkut Barata Strategis","38000000","70","325","2","Rumah","Disewakan","Suraba"
"11334","Rumah Northwest Park","25000000","40","72","2","Rumah","Disewakan","Suraba"
"11335","Disewakan Rumah Mulyosari Surabaya","45000000","120","84","4","Rumah","Disewakan","Suraba"
"11336","Rumah Bumi Marina mas Strategis","37000000","55","90","2","Rumah","Disewakan","Suraba"
"11337","Disewakan Rumah Villa Sentra Raya","75000000","200","160","4","Rumah","Disewakan","Suraba"
"11338","Rumah Wisma Kedungasem","35000000","56","105","2","Rumah","Disewakan","Suraba"
"11339","Rumah di Puri Kalijudan StrategisHadap Utara","45000000","120","128","2","Rumah","Disewakan","Suraba"
"11340","Rumah siap pakai Lokasi di ketintang ","60000000","120","120","3","Rumah","Disewakan","Suraba"
"11341","(AMT&GWJ) Rumah Citraland North West Lake Surabaya Minimalis Murah","55000000","138","135","3","Rumah","Disewakan","Suraba"
"11342","Rumah Siap Huni Manyar Kertoarjo Surabaya Timur","100000000","400","420","4","Rumah","Disewakan","Suraba"
"11343","Disewa Rumah Greenland Cluster Garbera Citraland Surabaya Barat","30000000","96","96","2","Rumah","Disewakan","Suraba"
"11344","Disewakan Rumah Minimalis Long Beach Pakuwon City","60000000","113","126","3","Rumah","Disewakan","Suraba"
"11345","Rumah Wonorejo Permai (Nirwana Executive) Siap Huni","42500000","160","160","3","Rumah","Disewakan","Suraba"
"11346","Disewakan Rumah Rungkut Asri","30000000","150","300","2","Rumah","Disewakan","Suraba"
"11347","Disewakan Rumah Manyar Kertoadi","90000000","250","300","4","Rumah","Disewakan","Suraba"
"11348","Rumah usaha Jalan Pakis Tirtosari v Surabaya","65000000","350","250","5","Rumah","Disewakan","Suraba"
"11349","Rumah Baruk Utara STRATEGIS Paling depan","50000000","100","120","3","Rumah","Disewakan","Suraba"
"11350","Rumah Greenlake Citraland kondisi BARU GRESSS","100000000","240","240","3","Rumah","Disewakan","Suraba"
"11351","Disewakan Rumah Waterfront","90000000","350","264","5","Rumah","Disewakan","Suraba"
"11352","Disewakan Rumah Pantai Mentari","35000000","60","72","3","Rumah","Disewakan","Suraba"
"11353","disewakan rumah kapas madya","28000000","72","72","4","Rumah","Disewakan","Suraba"
"11354","Rumah Zimbali Costa Minimalis Full Furnished","70000000","84","72","3","Rumah","Disewakan","Suraba"
"11355","PERUMAHAN SENTRA POINT FULL RENOVASI BAGUS STRATEGIS","47500000","100","105","4","Rumah","Disewakan","Suraba"
"11356","Dijual Rumah Gading Karya Surabaya","25000000","55","55","3","Rumah","Disewakan","Suraba"
"11357","Rumah di Tenggilis Permai Row Jln 2 Mbl Include furniture ","48000000","220","200","3","Rumah","Disewakan","Suraba"
"11358","Rumah Wonorejo Permai (Nirwana Executive) Siap Huni","42500000","160","160","3","Rumah","Disewakan","Suraba"
"11359","Dijual Rumah Gading Karya Surabaya","25000000","55","55","3","Rumah","Disewakan","Suraba"
"11360","Rumah di Tenggilis Permai Row Jln 2 Mbl Include furniture ","48000000","220","200","3","Rumah","Disewakan","Suraba"
"11361","Rumah di Pantai Mentari Bagus Strategis","75000000","250","250","3","Rumah","Disewakan","Suraba"
"11362","Disewakan Rumah Free Ac Di Citraland Northwest Park Surabaya ","35000000","50","72","2","Rumah","Disewakan","Suraba"
"11363","RUMAH GALAXY BUMI PERMAI ARAYA BARU GRESS FURNISH ADA TAMAN","110000000","250","233","5","Rumah","Disewakan","Suraba"
"11364","Disewa Rumah Sutorejo Prima Utara Surabaya Timur Dekat Mulyorejo MERR","40000000","135","135","3","Rumah","Disewakan","Suraba"
"11365","Rumah Dharmahusada Mas Siap Huni Strategis","55000000","180","200","4","Rumah","Disewakan","Suraba"
